# SCM estimates of absolute mRNA and protein levels, scaled to (average) molecules per haploid cell, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
YBR096W		6.2105	1991.273	0.302	0.311	11	5
YBR097W	VPS15	1.3882	242.456	0.249	0.310	11	4
YBR098W	MMS4	1.0049	156.160	0.284	0.351	8	1
YBR101C	FES1	10.5108	11436.793	0.254	0.224	11	8
YBR102C	EXO84	1.9311	727.660	0.250	0.248	10	3
YBR103W	SIF2	2.9194	877.545	0.287	0.305	10	5
YBR104W	YMC2	2.9361	629.693	0.271	0.316	10	3
YBR105C	VID24	6.6129	3665.326	0.259	0.253	12	2
YBR106W	PHO88	35.7052	51824.563	0.257	0.224	12	8
YBR107C	IML3	1.3995	154.995	0.286	0.329	10	1
YBR108W	AIM3	1.6671	297.741	0.277	0.354	10	3
YBR109C	CMD1	18.8623	21583.063	0.253	0.264	11	7
YBR110W	ALG1	3.4507	1818.082	0.292	0.222	9	5
YBR111C	YSA1	10.7280	5323.758	0.249	0.276	11	5
YBR111W-A	SUS1	0.7730	132.448	0.294	0.352	4	2
YBR112C	CYC8	6.6543	2658.655	0.274	0.292	11	6
YBR114W	RAD16	1.1724	214.220	0.265	0.285	10	3
YBR115C	LYS2	5.7571	6691.550	0.286	0.236	11	8
YBR117C	TKL2	0.9264	182.262	0.275	0.311	9	4
YBR118W	TEF2	70.4554	98315.184	0.276	0.232	12	6
YBR119W	MUD1	2.3586	784.589	0.298	0.325	11	3
YBR120C	CBP6	3.6357	2408.533	0.270	0.249	10	5
YBR121C	GRS1	29.5429	63373.085	0.241	0.222	12	10
YBR122C	MRPL36	4.8786	1982.367	0.277	0.254	11	3
YBR123C	TFC1	3.0930	1761.518	0.286	0.283	10	4
YBR125C	PTC4	2.2234	315.212	0.287	0.336	10	3
