# scer_aggregation_psup_long.txt 
# Generated:  Tue Feb 19 18:22:52 2019 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment id; temperature, time, and replicate
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.t: summed intensity for total (light) channel
#   intensity.s: summed intensity for supernatant (medium) channel
#   intensity.p: summed intensity for pellet (heavy) channel
#   psup: normalized proportion in supernatant
#   psup.lo: normalized 2.5% percentile of psup
#   psup.hi: normalized 97.5% percentile of psup
# 
orf	gene	experiment	n.detections	n.peptides	intensity.t	intensity.s	intensity.p	psup	psup.lo	psup.hi
YAR002W	NUP60	42C.8min	3	3	11901802	5235360	2334533.5	0.7221	0.3266	0.9423
YAR002W	NUP60	46C.2min	3	3	12049200	10245500	4821000	0.5305	0.2518	0.8029
YAR002W	NUP60	46C.4min	4	3	40438800	31795200	22834700	0.5186	0.3261	0.7043
YAR002W	NUP60	46C.8min	2	2	708630	864179.999999999	1530160	0.3541	0.1679	0.6047
YAR003W	SWD1	30C.rep1	1	1	5227400	15459000	5715500	0.6241	0.268	0.8916
YAR007C	RFA1	30C.rep1	13	10	94629729.9999999	124261790	14638660	0.835	0.7584	0.893
YAR007C	RFA1	30C.rep2	4	4	83661070	60366590	11806436	0.9113	0.8037	0.9622
YAR007C	RFA1	30C.rep3	2	2	3731500	2352880	314717	0.8372	0.3548	0.9848
YAR007C	RFA1	37C.8min	6	6	28572600	13788080	4303550	0.8201	0.5658	0.9467
YAR007C	RFA1	42C.8min	6	6	47552400	28552070	6073540	0.7496	0.4713	0.9113
YAR007C	RFA1	46C.2min	4	3	48599300	36788700	3986230	0.8184	0.5607	0.9418
YAR007C	RFA1	46C.4min	5	6	77757799.9999999	55741900	35290490	0.5807	0.3993	0.7535
YAR007C	RFA1	46C.8min	4	3	9939792.99999999	16082372	16267324	0.4923	0.3218	0.6682
YAR008W	SEN34	46C.4min	2	2	24405800	21937100	8739900	0.6245	0.3452	0.8453
YAR014C	BUD14	30C.rep3	1	1	15860000	9216500	243450	0.9665	0.5091	0.9991
YAR014C	BUD14	42C.8min	1	1	2435300	1199400	397620	0.6346	0.1372	0.9625
YAR014C	BUD14	46C.8min	2	1	272491	572120	253137	0.6677	0.4273	0.8437
YAR015W	ADE1	30C.rep1	12	9	121750060	193874000	14968150	0.9276	0.8851	0.9559
YAR015W	ADE1	30C.rep2	3	3	60529800	33622000	4113410	0.9149	0.7836	0.969
YAR015W	ADE1	30C.rep3	6	5	12189450	9972557	3974941	0.8048	0.5492	0.9427
YAR015W	ADE1	37C.8min	10	7	108925977	40672440	23768305	0.764	0.5609	0.899
YAR015W	ADE1	42C.8min	6	5	29157110	19926546	2826689	0.6242	0.35	0.8404
